recall,precision
1.000000000000000000e+00,5.657978385251112297e-01
1.000000000000000000e+00,5.661577608142494000e-01
1.000000000000000000e+00,5.665181413112666542e-01
1.000000000000000000e+00,5.668789808917197304e-01
1.000000000000000000e+00,5.672402804333970261e-01
1.000000000000000000e+00,5.676020408163264808e-01
1.000000000000000000e+00,5.679642629227823480e-01
1.000000000000000000e+00,5.683269476372924123e-01
1.000000000000000000e+00,5.686900958466453160e-01
1.000000000000000000e+00,5.690537084398976653e-01
1.000000000000000000e+00,5.694177863083813573e-01
1.000000000000000000e+00,5.697823303457105748e-01
1.000000000000000000e+00,5.701473414477898904e-01
1.000000000000000000e+00,5.705128205128204844e-01
1.000000000000000000e+00,5.708787684413085817e-01
1.000000000000000000e+00,5.712451861360718919e-01
1.000000000000000000e+00,5.716120745022479355e-01
1.000000000000000000e+00,5.719794344473008163e-01
1.000000000000000000e+00,5.723472668810289932e-01
1.000000000000000000e+00,5.727155727155727183e-01
1.000000000000000000e+00,5.730843528654218089e-01
1.000000000000000000e+00,5.734536082474226415e-01
1.000000000000000000e+00,5.738233397807865899e-01
1.000000000000000000e+00,5.741935483870967971e-01
1.000000000000000000e+00,5.745642349903162804e-01
1.000000000000000000e+00,5.749354005167958137e-01
1.000000000000000000e+00,5.753070458952811439e-01
1.000000000000000000e+00,5.756791720569210957e-01
1.000000000000000000e+00,5.760517799352751211e-01
1.000000000000000000e+00,5.764248704663212930e-01
1.000000000000000000e+00,5.767984445884640765e-01
1.000000000000000000e+00,5.771725032425421009e-01
1.000000000000000000e+00,5.775470473718364861e-01
1.000000000000000000e+00,5.779220779220779480e-01
1.000000000000000000e+00,5.782975958414554585e-01
1.000000000000000000e+00,5.786736020806242387e-01
1.000000000000000000e+00,5.790500975927130867e-01
1.000000000000000000e+00,5.794270833333333703e-01
1.000000000000000000e+00,5.798045602605863547e-01
1.000000000000000000e+00,5.801825293350717505e-01
1.000000000000000000e+00,5.805609915198955973e-01
1.000000000000000000e+00,5.809399477806788115e-01
1.000000000000000000e+00,5.813193990855649584e-01
1.000000000000000000e+00,5.816993464052288010e-01
1.000000000000000000e+00,5.820797907128842930e-01
1.000000000000000000e+00,5.824607329842932391e-01
1.000000000000000000e+00,5.828421741977733994e-01
1.000000000000000000e+00,5.832241153342070383e-01
1.000000000000000000e+00,5.836065573770491399e-01
1.000000000000000000e+00,5.839895013123359568e-01
1.000000000000000000e+00,5.843729481286933369e-01
1.000000000000000000e+00,5.847568988173456050e-01
1.000000000000000000e+00,5.851413543721235566e-01
1.000000000000000000e+00,5.855263157894736725e-01
1.000000000000000000e+00,5.859117840684661127e-01
1.000000000000000000e+00,5.862977602108037090e-01
1.000000000000000000e+00,5.866842452208306247e-01
1.000000000000000000e+00,5.870712401055409035e-01
1.000000000000000000e+00,5.874587458745874624e-01
1.000000000000000000e+00,5.878467635402906399e-01
1.000000000000000000e+00,5.882352941176470784e-01
1.000000000000000000e+00,5.886243386243386055e-01
1.000000000000000000e+00,5.890138980807412272e-01
1.000000000000000000e+00,5.894039735099337873e-01
1.000000000000000000e+00,5.897945659377070715e-01
1.000000000000000000e+00,5.901856763925729110e-01
1.000000000000000000e+00,5.905773059057730645e-01
1.000000000000000000e+00,5.909694555112882108e-01
1.000000000000000000e+00,5.913621262458471639e-01
1.000000000000000000e+00,5.917553191489361986e-01
1.000000000000000000e+00,5.921490352628077103e-01
1.000000000000000000e+00,5.925432756324899852e-01
1.000000000000000000e+00,5.929380413057960819e-01
1.000000000000000000e+00,5.933333333333333792e-01
1.000000000000000000e+00,5.937291527685123471e-01
1.000000000000000000e+00,5.941255006675567607e-01
1.000000000000000000e+00,5.945223780895123600e-01
1.000000000000000000e+00,5.949197860962567308e-01
1.000000000000000000e+00,5.953177257525084087e-01
1.000000000000000000e+00,5.957161981258366490e-01
1.000000000000000000e+00,5.961152042866710854e-01
1.000000000000000000e+00,5.965147453083109452e-01
1.000000000000000000e+00,5.969148222669349302e-01
1.000000000000000000e+00,5.973154362416107643e-01
1.000000000000000000e+00,5.977165883143048530e-01
1.000000000000000000e+00,5.981182795698924970e-01
1.000000000000000000e+00,5.985205110961667740e-01
1.000000000000000000e+00,5.989232839838493083e-01
9.988764044943819753e-01,5.986531986531986593e-01
9.977528089887640617e-01,5.983827493261455466e-01
9.977528089887640617e-01,5.987862440997977487e-01
9.977528089887640617e-01,5.991902834008097090e-01
9.977528089887640617e-01,5.995948683322079864e-01
9.977528089887640617e-01,5.999999999999999778e-01
9.977528089887640617e-01,6.004056795131845758e-01
9.977528089887640617e-01,6.008119079837618282e-01
9.977528089887640617e-01,6.012186865267433733e-01
9.966292134831460370e-01,6.009485094850948173e-01
9.966292134831460370e-01,6.013559322033897869e-01
9.966292134831460370e-01,6.017639077340569687e-01
